alias,canonical_role_id,canonical_role,evidence_count
【福利好】口腔医生,backend-engineer,后端工程师,13
【诚招】口腔护士,backend-engineer,后端工程师,13
业务代表,backend-engineer,后端工程师,13
业务经理,backend-engineer,后端工程师,13
中物理教师,backend-engineer,后端工程师,13
人资专员,backend-engineer,后端工程师,13
企划经理,backend-engineer,后端工程师,13
会计师,backend-engineer,后端工程师,13
前台,backend-engineer,后端工程师,13
区域销售经理主管,backend-engineer,后端工程师,13
医疗器械销售,backend-engineer,后端工程师,13
医药连锁A经理,backend-engineer,后端工程师,13
土建工程师,backend-engineer,后端工程师,13
培训主管,backend-engineer,后端工程师,13
外贸经理,backend-engineer,后端工程师,13
客户经理,backend-engineer,后端工程师,13
工程技术员,backend-engineer,后端工程师,13
市场专员,backend-engineer,后端工程师,13
库房管理,backend-engineer,后端工程师,13
库管,backend-engineer,后端工程师,13
操作工普工,backend-engineer,后端工程师,13
洗碗工,backend-engineer,后端工程师,13
理货员,backend-engineer,后端工程师,13
电气技术员,backend-engineer,后端工程师,13
监理员,backend-engineer,后端工程师,13
程序员,backend-engineer,后端工程师,13
策划经理,backend-engineer,后端工程师,13
维修工程师,backend-engineer,后端工程师,13
网络销售,backend-engineer,后端工程师,13
职业装销售代表,backend-engineer,后端工程师,13
行政人事,backend-engineer,后端工程师,13
软件工程师,backend-engineer,后端工程师,13
配送员,backend-engineer,后端工程师,13
钣金工,backend-engineer,后端工程师,13
销售业务代表,backend-engineer,后端工程师,13
驾驶员,backend-engineer,后端工程师,13
安全工程师,security-engineer,安全工程师,13
质量员,testing-engineer,测试工程师,13
质量管理,testing-engineer,测试工程师,13
税务专员,role-税务专员,税务专员,13
网店运营,operations-specialist,运营,13
(10000元以上高薪)全科医生,backend-engineer,后端工程师,12
(招贤纳士)护士,backend-engineer,后端工程师,12
(诚聘)护士,backend-engineer,后端工程师,12
(高薪10000元以上)内科全科医生,backend-engineer,后端工程师,12
[急缺]口腔医生,backend-engineer,后端工程师,12
[急缺]护士,backend-engineer,后端工程师,12
[招贤纳士]口腔护士,backend-engineer,后端工程师,12
[福利好]护士,backend-engineer,后端工程师,12
cad绘图员,backend-engineer,后端工程师,12
【急招】口腔医生,backend-engineer,后端工程师,12
【放心投】口腔护士,backend-engineer,后端工程师,12
【诚招】护士,backend-engineer,后端工程师,12
业务员,backend-engineer,后端工程师,12
中医医生,backend-engineer,后端工程师,12
仓库主管,backend-engineer,后端工程师,12
企划主管,backend-engineer,后端工程师,12
保安人带,backend-engineer,后端工程师,12
内勤,backend-engineer,后端工程师,12
副总经理,backend-engineer,后端工程师,12
办公文员,backend-engineer,后端工程师,12
区域城市经理,backend-engineer,后端工程师,12
售后技术支持,backend-engineer,后端工程师,12
商专员,backend-engineer,后端工程师,12
园林工程师,backend-engineer,后端工程师,12
安装工程师,backend-engineer,后端工程师,12
客户专员,backend-engineer,后端工程师,12
客户代表,backend-engineer,后端工程师,12
工艺技术员,backend-engineer,后端工程师,12
市场推广专员,backend-engineer,后端工程师,12
市场营销经理,backend-engineer,后端工程师,12
弱电工程师,backend-engineer,后端工程师,12
房地产销售置业顾问,backend-engineer,后端工程师,12
技术工程师,backend-engineer,后端工程师,12
数控操作包,backend-engineer,后端工程师,12
景观工程师,backend-engineer,后端工程师,12
检测员,backend-engineer,后端工程师,12
氩弧焊工,backend-engineer,后端工程师,12
汽车销售顾问,backend-engineer,后端工程师,12
焊工包学,backend-engineer,后端工程师,12
焊接工程师,backend-engineer,后端工程师,12
物流经理,backend-engineer,后端工程师,12
电子工程师,backend-engineer,后端工程师,12
电工焊工,backend-engineer,后端工程师,12
策划,backend-engineer,后端工程师,12
策划主管,backend-engineer,后端工程师,12
美术教师,backend-engineer,后端工程师,12
老师,backend-engineer,后端工程师,12
调度员,backend-engineer,后端工程师,12
财务主管,backend-engineer,后端工程师,12
财务人员,backend-engineer,后端工程师,12
质检员包学,backend-engineer,后端工程师,12
酒店拓展管理,backend-engineer,后端工程师,12
采购主管,backend-engineer,后端工程师,12
项目主管,backend-engineer,后端工程师,12
项目总经理,backend-engineer,后端工程师,12
工程项目经理,role-工程项目经理,工程项目经理,12
